imgPath,bboxTLX,bboxTLY,bboxBRX,bboxBRY,imgKeyptX,imgKeyptY,keyptClass,objClass,azimuthClass,elevationClass,rotationClass
Images/aeroplane_pascal/2008_000033.jpg,103,60,475,256,386.492620,69.136531,0,0,72,322,351
Images/aeroplane_pascal/2008_000033.jpg,103,60,475,256,434.463100,216.738007,1,0,72,322,351
Images/aeroplane_pascal/2008_000033.jpg,103,60,475,256,451.990775,166.922509,2,0,72,322,351
Images/aeroplane_pascal/2008_000033.jpg,103,60,475,256,105.127306,100.501845,3,0,72,322,351
Images/aeroplane_pascal/2008_000033.jpg,103,60,475,256,266.566421,250.870849,4,0,72,322,351
Images/aeroplane_pascal/2008_000033.jpg,103,60,475,256,396.640221,181.682657,5,0,72,322,351
Images/aeroplane_pascal/2008_000033.jpg,103,60,475,256,469.518450,180.760148,6,0,72,322,351
Images/aeroplane_pascal/2008_000033.jpg,103,60,475,256,422.470480,248.103321,7,0,72,322,351
Images/aeroplane_pascal/2008_000037.jpg,46,156,449,281,117.805085,189.248184,0,0,229,3,6
Images/aeroplane_pascal/2008_000037.jpg,46,156,449,281,83.403148,241.926150,1,0,229,3,6
Images/aeroplane_pascal/2008_000037.jpg,46,156,449,281,78.027845,163.446731,2,0,229,3,6
Images/aeroplane_pascal/2008_000037.jpg,46,156,449,281,369.369249,206.449153,3,0,229,3,6
Images/aeroplane_pascal/2008_000037.jpg,46,156,449,281,404.846247,177.422518,4,0,229,3,6
Images/aeroplane_pascal/2008_000037.jpg,46,156,449,281,123.180387,211.824455,5,0,229,3,6
Images/aeroplane_pascal/2008_000037.jpg,46,156,449,281,57.601695,234.400726,6,0,229,3,6
Images/aeroplane_pascal/2008_000037.jpg,46,156,449,281,141.456416,233.325666,7,0,229,3,6
Images/aeroplane_pascal/2008_000151.jpg,243,224,274,260,245.348708,245.118081,0,0,123,58,333
Images/aeroplane_pascal/2008_000151.jpg,243,224,274,260,267.488930,258.033210,1,0,123,58,333
Images/aeroplane_pascal/2008_000151.jpg,243,224,274,260,266.566421,254.343173,2,0,123,58,333
Images/aeroplane_pascal/2008_000151.jpg,243,224,274,260,249.038745,225.745387,3,0,123,58,333
Images/aeroplane_pascal/2008_000151.jpg,243,224,274,260,262.876384,230.357934,4,0,123,58,333
Images/aeroplane_pascal/2008_000151.jpg,243,224,274,260,262.876384,256.188192,6,0,123,58,333
Images/aeroplane_pascal/2008_000151.jpg,243,224,274,260,269.333948,254.343173,7,0,123,58,333
Images/aeroplane_pascal/2008_000197.jpg,94,133,229,202,149.519370,199.058111,0,0,117,41,3
Images/aeroplane_pascal/2008_000197.jpg,94,133,229,202,197.897094,196.639225,2,0,117,41,3
Images/aeroplane_pascal/2008_000197.jpg,94,133,229,202,95.497579,167.612591,3,0,117,41,3
Images/aeroplane_pascal/2008_000197.jpg,94,133,229,202,208.378935,136.973366,4,0,117,41,3
Images/aeroplane_pascal/2008_000197.jpg,94,133,229,202,192.253027,182.125908,6,0,117,41,3
Images/aeroplane_pascal/2008_000197.jpg,94,133,229,202,226.117433,149.067797,7,0,117,41,3
Images/aeroplane_pascal/2008_000291.jpg,1,195,216,250,209.185230,221.634383,3,0,284,3,0
Images/aeroplane_pascal/2008_000291.jpg,1,195,216,250,4.386199,220.828087,4,0,284,3,0
Images/aeroplane_pascal/2008_000291.jpg,391,197,438,219,392.027675,201.055351,2,0,271,4,359
Images/aeroplane_pascal/2008_000291.jpg,391,197,438,219,437.230627,208.435424,3,0,271,4,359
Images/aeroplane_pascal/2008_000291.jpg,391,197,438,219,416.935424,204.745387,4,0,271,4,359
Images/aeroplane_pascal/2008_000291.jpg,391,197,438,219,399.407749,205.667897,5,0,271,4,359
Images/aeroplane_pascal/2008_000291.jpg,391,197,438,219,394.795203,209.357934,7,0,271,4,359
Images/aeroplane_pascal/2008_000585.jpg,0,4,498,374,169.702952,8.955720,2,0,344,5,1
Images/aeroplane_pascal/2008_000585.jpg,0,4,498,374,434.463100,266.335793,3,0,344,5,1
Images/aeroplane_pascal/2008_000585.jpg,0,4,498,374,198.300738,139.952030,5,0,344,5,1
Images/aeroplane_pascal/2008_000585.jpg,0,4,498,374,29.481550,158.402214,7,0,344,5,1
Images/aeroplane_pascal/2008_000716.jpg,4,81,276,174,37.784133,85.916974,2,0,288,5,358
Images/aeroplane_pascal/2008_000716.jpg,4,81,276,174,271.178967,150.492620,3,0,288,5,358
Images/aeroplane_pascal/2008_000716.jpg,4,81,276,174,68.226937,142.190037,4,0,288,5,358
Images/aeroplane_pascal/2008_000716.jpg,4,81,276,174,76.529520,122.817343,5,0,288,5,358
Images/aeroplane_pascal/2008_000716.jpg,4,81,276,174,13.798893,132.964945,7,0,288,5,358
