imgPath,bboxTLX,bboxTLY,bboxBRX,bboxBRY,imgKeyptX,imgKeyptY,keyptClass,objClass,azimuthClass,elevationClass,rotationClass
Images/bus_pascal/2008_000238.jpg,0,83,478,374,427.466102,160.668281,4,0,218,4,353
Images/bus_pascal/2008_000238.jpg,0,83,478,374,473.773608,278.707022,6,0,218,4,353
Images/bus_pascal/2008_000238.jpg,0,83,478,374,37.938257,324.106538,8,0,218,4,353
Images/bus_pascal/2008_000238.jpg,0,83,478,374,456.521792,290.510896,9,0,218,4,353
Images/bus_pascal/2008_001022.jpg,28,16,435,335,45.164207,113.501845,1,0,335,357,355
Images/bus_pascal/2008_001022.jpg,28,16,435,335,313.614391,30.476015,4,0,335,357,355
Images/bus_pascal/2008_001022.jpg,28,16,435,335,425.238007,64.608856,5,0,335,357,355
Images/bus_pascal/2008_001022.jpg,28,16,435,335,301.621771,325.678967,6,0,335,357,355
Images/bus_pascal/2008_001022.jpg,28,16,435,335,428.005535,315.531365,7,0,335,357,355
Images/bus_pascal/2008_001022.jpg,28,16,435,335,66.381919,262.025830,8,0,335,357,355
Images/bus_pascal/2008_001022.jpg,28,16,435,335,196.455720,295.236162,9,0,335,357,355
Images/bus_pascal/2008_001842.jpg,126,0,499,327,136.492620,262.208487,6,0,23,1,353
Images/bus_pascal/2008_001842.jpg,126,0,499,327,384.647601,300.953875,7,0,23,1,353
Images/bus_pascal/2008_001842.jpg,126,0,499,327,493.503690,285.271218,11,0,23,1,353
Images/bus_pascal/2008_002229.jpg,252,170,291,200,288.130074,192.073801,2,0,11,1,358
Images/bus_pascal/2008_002229.jpg,252,170,291,200,288.591328,176.621771,3,0,11,1,358
Images/bus_pascal/2008_002229.jpg,252,170,291,200,258.609779,175.929889,4,0,11,1,358
Images/bus_pascal/2008_002229.jpg,252,170,291,200,274.061808,175.699262,5,0,11,1,358
Images/bus_pascal/2008_002229.jpg,252,170,291,200,255.380996,192.996310,6,0,11,1,358
Images/bus_pascal/2008_002229.jpg,252,170,291,200,271.986162,192.996310,7,0,11,1,358
Images/bus_pascal/2008_002229.jpg,252,170,291,200,284.209410,193.918819,10,0,11,1,358
Images/bus_pascal/2008_003060.jpg,0,131,30,201,28.328413,198.531365,0,0,175,0,0
Images/bus_pascal/2008_003060.jpg,0,131,30,201,28.328413,145.487085,1,0,175,0,0
Images/bus_pascal/2008_003060.jpg,30,147,131,173,33.056273,151.714022,1,0,274,359,2
Images/bus_pascal/2008_003060.jpg,30,147,131,173,126.229705,151.483395,4,0,274,359,2
Images/bus_pascal/2008_003060.jpg,133,35,423,355,419.702952,269.103321,2,0,7,1,358
Images/bus_pascal/2008_003060.jpg,133,35,423,355,418.780443,112.276753,3,0,7,1,358
Images/bus_pascal/2008_003060.jpg,133,35,423,355,155.865314,94.749077,4,0,7,1,358
Images/bus_pascal/2008_003060.jpg,133,35,423,355,339.444649,98.439114,5,0,7,1,358
Images/bus_pascal/2008_003060.jpg,133,35,423,355,143.872694,326.298893,6,0,7,1,358
Images/bus_pascal/2008_003060.jpg,133,35,423,355,327.452030,337.369004,7,0,7,1,358
